Afonso V of Portugal,15.1.1432 (BC: False),28.8.1481 (BC: False)
Afonso VI of Portugal,21.8.1643 (BC: False),12.9.1683 (BC: False)
Alfonso XII of Spain,28.11.1857 (BC: False),25.11.1885 (BC: False)
Alfonso III of Aragon,4.11.1265 (BC: False),18.6.1291 (BC: False)
Alfonso IV of Aragon,2.11.1299 (BC: False),24.1.1336 (BC: False)
August Wilhelm Ambros,17.11.1816 (BC: False),28.6.1876 (BC: False)
Abu Bakr,27.10.573 (BC: False),23.8.634 (BC: False)
Anaxagoras,None.None.510 (BC: True),None.None.428 (BC: True)
Anaximenes of Miletus,None.None.586 (BC: True),None.None.526 (BC: True)
Andrea Andreani,None.None.1540 (BC: False),None.None.1623 (BC: False)
Andrew II of Hungary,None.None.1177 (BC: False),None.None.1235 (BC: False)
Andronikos III Palaiologos,25.3.1297 (BC: False),15.6.1341 (BC: False)
Andronikos II Palaiologos,25.3.1259 (BC: False),13.2.1332 (BC: False)
Andronikos I Komnenos,None.None.1118 (BC: False),12.9.1185 (BC: False)
Apuleius,None.None.124 (BC: True),None.None.170 (BC: False)
Arnold Schwarzenegger,30.7.1947 (BC: False),'alive'
Antoine Lavoisier,26.8.1743 (BC: False),8.5.1794 (BC: False)
Hermann Kolbe,27.9.1818 (BC: False),25.11.1884 (BC: False)
Amitabh Bachchan,11.10.1942 (BC: False),'alive'
Agathocles of Syracuse,None.None.361 (BC: True),None.None.289 (BC: True)
Augustin-Louis Cauchy,21.8.1789 (BC: False),23.5.1857 (BC: False)
Archimedes,None.None.287 (BC: True),None.None.212 (BC: True)
Alfred Jarry,8.9.1873 (BC: False),1.11.1907 (BC: False)
Aimery of Cyprus,None.None.1153 (BC: False),None.None.1205 (BC: False)
A. G. Spalding,2.9.1849 (BC: False),9.9.1915 (BC: False)
Alessandro Volta,18.2.1745 (BC: False),5.3.1827 (BC: False)
Alexander Fleming,6.8.1881 (BC: False),11.3.1955 (BC: False)
Andrew Carnegie,25.11.1835 (BC: False),11.8.1919 (BC: False)
Andrea Alciato,8.5.1492 (BC: False),12.1.1550 (BC: False)
Alan Ayckbourn,12.4.1939 (BC: False),'alive'
Alvar Aalto,3.2.1898 (BC: False),11.5.1976 (BC: False)
A. J. Ayer,29.10.1910 (BC: False),27.6.1989 (BC: False)
André Weil,6.5.1906 (BC: False),6.8.1998 (BC: False)
Atle Selberg,14.6.1917 (BC: False),6.8.2007 (BC: False)
Aeschylus,None.None.523 (BC: True),None.None.456 (BC: True)
Andrew Wiles,11.4.1953 (BC: False),'alive'
Anne Brontë,17.1.1820 (BC: False),28.5.1849 (BC: False)
Augustine of Hippo,13.11.354 (BC: False),28.8.430 (BC: False)
August Horch,12.10.1868 (BC: False),3.2.1951 (BC: False)
Alexander Grothendieck,28.3.1928 (BC: False),13.11.2014 (BC: False)
Amerigo Vespucci,9.3.1454 (BC: False),22.2.1512 (BC: False)
Aristide Maillol,8.12.1861 (BC: False),27.9.1944 (BC: False)
Antonio Canova,1.11.1757 (BC: False),13.10.1822 (BC: False)
Auguste Rodin,12.11.1840 (BC: False),17.11.1917 (BC: False)
Adam Weishaupt,6.2.1748 (BC: False),18.11.1830 (BC: False)
Auguste and Louis Lumière,19.10.1862 (BC: False),10.4.1954 (BC: False)
Andrew Tridgell,28.2.1967 (BC: False),'alive'
Ani DiFranco,23.9.1970 (BC: False),'alive'
Aaliyah,16.1.1979 (BC: False),25.8.2001 (BC: False)
Anton Drexler,13.6.1884 (BC: False),24.2.1942 (BC: False)
Ahmad Shah Massoud,2.9.1953 (BC: False),9.9.2001 (BC: False)
Arcadius,1.1.377 (BC: False),1.5.408 (BC: False)
Abdulaziz al-Omari,28.5.1979 (BC: False),11.9.2001 (BC: False)
Aage Bohr,19.6.1922 (BC: False),8.9.2009 (BC: False)
Arthur Eddington,28.12.1882 (BC: False),22.11.1944 (BC: False)
Alexis Korner,19.4.1928 (BC: False),1.1.1984 (BC: False)
Arthur Miller,17.10.1915 (BC: False),10.2.2005 (BC: False)
Anita Hill,30.7.1956 (BC: False),'alive'
Avery Hopwood,28.5.1882 (BC: False),1.7.1928 (BC: False)
Alessandro Scarlatti,2.5.1660 (BC: False),22.10.1725 (BC: False)
Albert Pike,29.12.1809 (BC: False),2.4.1891 (BC: False)
Andreas Aagesen,5.8.1826 (BC: False),26.10.1879 (BC: False)
Alois Alzheimer,14.6.1864 (BC: False),19.12.1915 (BC: False)
Akio Morita,26.1.1921 (BC: False),3.10.1999 (BC: False)
Anthony Hopkins,31.12.1937 (BC: False),'alive'
Ardal O'Hanlon,8.10.1965 (BC: False),'alive'
Albrecht Dürer,21.5.1471 (BC: False),6.4.1528 (BC: False)
Alban Berg,None.None.1885 (BC: False),None.None.1935 (BC: False)
Ann Widdecombe,4.10.1947 (BC: False),'alive'
Aurangzeb,4.11.1618 (BC: False),3.3.1707 (BC: False)
Alberto Giacometti,10.10.1901 (BC: False),11.1.1966 (BC: False)
Anton Chekhov,29.1.1860 (BC: False),15.7.1904 (BC: False)
Arnulf of Carinthia,None.None.850 (BC: False),8.12.899 (BC: False)
Agostino Carracci,None.None.1557 (BC: False),None.None.1602 (BC: False)
Alexander Kerensky,4.5.1881 (BC: False),11.6.1970 (BC: False)
Ansgar,8.9.801 (BC: False),3.2.865 (BC: False)
Arthur Phillip,11.10.1738 (BC: False),31.8.1814 (BC: False)
André the Giant,19.5.1946 (BC: False),27.1.1993 (BC: False)
Antoine Thomson d'Abbadie,3.1.1810 (BC: False),19.3.1897 (BC: False)
Abba Mari,None.None.1250 (BC: False),None.None.1306 (BC: False)
Abbas II of Egypt,14.7.1874 (BC: False),19.12.1944 (BC: False)
Abbas Mirza,20.8.1789 (BC: False),25.10.1833 (BC: False)
George Abbot (bishop),29.10.1562 (BC: False),4.8.1633 (BC: False)
Arthur St. Clair,23.3.1737 (BC: False),31.8.1818 (BC: False)
Abdulaziz,8.2.1830 (BC: False),4.6.1876 (BC: False)
Abdul Hamid I,20.3.1725 (BC: False),7.4.1789 (BC: False)
Abdur Rahman Khan,None.None.1840 (BC: True),1.10.1901 (BC: False)
Amy Grant,25.11.1960 (BC: False),'alive'
Arthur William à Beckett,25.10.1844 (BC: False),14.1.1909 (BC: False)
Anders Celsius,27.11.1701 (BC: False),25.4.1744 (BC: False)
Adam Carolla,27.5.1964 (BC: False),'alive'
Arthur J. Stone,None.None.1847 (BC: False),None.None.1938 (BC: False)
Andrei Sakharov,21.5.1921 (BC: False),14.12.1989 (BC: False)
Aron Nimzowitsch,7.11.1886 (BC: False),16.3.1935 (BC: False)
Andreas Schlüter,None.None.1659 (BC: False),None.None.1714 (BC: False)
Aung San Suu Kyi,19.6.1945 (BC: False),'alive'
Abraham Joshua Heschel,11.1.1907 (BC: False),23.12.1972 (BC: False)
Andrzej Sapkowski,21.6.1948 (BC: False),'alive'
Amanda Hesser,None.None.1971 (BC: False),'alive'
Archduke Charles, Duke of Teschen,5.9.1771 (BC: False),30.4.1847 (BC: False)
Alex Lifeson,27.8.1953 (BC: False),'alive'
Axayacatl,None.None.1449 (BC: False),None.None.1481 (BC: False)
Amr Diab,11.10.1961 (BC: False),'alive'
Anaïs Nin,21.2.1903 (BC: False),14.1.1977 (BC: False)
Ariel Sharon,26.2.1928 (BC: False),11.1.2014 (BC: False)
Arthur Laurents,14.7.1917 (BC: False),5.5.2011 (BC: False)
Adrian Lamo,20.2.1981 (BC: False),14.3.2018 (BC: False)
Alan Jay Lerner,31.8.1918 (BC: False),14.6.1986 (BC: False)
Al Capp,28.9.1909 (BC: False),5.11.1979 (BC: False)
Ann Druyan,13.6.1949 (BC: False),'alive'
Alexey Pajitnov,16.4.1955 (BC: False),'alive'
ʻAbdu'l-Bahá,23.5.1844 (BC: False),28.11.1921 (BC: False)
Arthur Jensen,24.8.1923 (BC: False),22.10.2012 (BC: False)
Albert Brooks,22.7.1947 (BC: False),'alive'
Angela Vincent,None.None.1942 (BC: False),'alive'
Akira Toriyama,5.4.1955 (BC: False),'alive'
Andrew S. Tanenbaum,16.3.1944 (BC: False),'alive'
Abu Zubaydah,12.3.1971 (BC: False),'alive'
Adolphe Sax,6.11.1814 (BC: False),7.2.1894 (BC: False)
Adin Steinsaltz,11.7.1937 (BC: False),'alive'
A. E. Housman,26.3.1859 (BC: False),30.4.1936 (BC: False)
Al Capone,17.1.1899 (BC: False),25.1.1947 (BC: False)
Ahmed al-Nami,7.12.1977 (BC: False),11.9.2001 (BC: False)
Ahmed al-Haznawi,11.10.1980 (BC: False),11.9.2001 (BC: False)
Athanasius of Alexandria,None.None.296 (BC: False),2.5.373 (BC: False)
Albert Frederick, Duke of Prussia,7.5.1553 (BC: False),28.8.1618 (BC: False)
Anthony the Great,12.1.251 (BC: False),17.1.356 (BC: False)
Anthony of Saxony,27.12.1755 (BC: False),6.6.1836 (BC: False)
Albert III, Duke of Saxony,27.1.1443 (BC: False),12.9.1500 (BC: False)
Arlo Guthrie,10.7.1947 (BC: False),'alive'
Benjamin Lee Whorf,24.4.1897 (BC: False),26.7.1941 (BC: False)
Bill Clinton,19.8.1946 (BC: False),'alive'
